# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2021-04-11 04:17:16 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 452053119323001 WILLOW CREEK RESERVOIR NW CORNER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 452053119323001
#            TS   parameter     Description
#        117843       00010     Temperature, water, degrees Celsius
#        117844       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#        117845       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#        117846       00400     pH, water, unfiltered, field, standard units
#        117847       63680     Turbidity, water, unfiltered, monochrome near infra-red LED light, 780-900 nm, detection angle 90 +-2.5 degrees, formazin nephelometric units (FNU)
#        117848       62361     Chlorophyll, total, water, fluorometric, 650-700 nanometers, in situ sensor, micrograms per liter
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	tz_cd	117843_00010	117843_00010_cd	117844_00095	117844_00095_cd	117845_00300	117845_00300_cd	117846_00400	117846_00400_cd	117847_63680	117847_63680_cd	117848_62361	117848_62361_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	452053119323001	2015-05-14 00:00	PDT	15.2	A	211	A	10.7	A	9.0	A	6.7	A	6.5	A
USGS	452053119323001	2015-05-14 01:00	PDT	15.1	A	211	A	10.7	A	9.0	A	5.2	A	5.9	A
USGS	452053119323001	2015-05-14 02:00	PDT	15.1	A	211	A	10.6	A	9.0	A	6.7	A	4.7	A
USGS	452053119323001	2015-05-14 03:00	PDT	15.1	A	211	A	10.6	A	9.0	A	1.6	A	5.9	A
USGS	452053119323001	2015-05-14 04:00	PDT	15.1	A	211	A	10.6	A	9.0	A	4.1	A	9.5	A
USGS	452053119323001	2015-05-14 05:00	PDT	15.0	A	212	A	10.6	A	9.0	A	6.8	A	10.0	A
USGS	452053119323001	2015-05-14 06:00	PDT	15.0	A	212	A	10.6	A	9.0	A	4.5	A	5.5	A
USGS	452053119323001	2015-05-14 07:00	PDT	15.1	A	211	A	10.7	A	9.0	A	8.4	A	8.1	A
USGS	452053119323001	2015-05-14 08:00	PDT	15.3	A	211	A	10.8	A	9.0	A	10.5	A	13.3	A
USGS	452053119323001	2015-05-14 09:00	PDT	15.5	A	211	A	10.9	A	9.0	A	5.4	A	5.8	A
USGS	452053119323001	2015-05-14 10:00	PDT	15.8	A	211	A	11.0	A	9.0	A	6.1	A	4.4	A
USGS	452053119323001	2015-05-14 11:00	PDT	15.8	A	211	A	11.2	A	9.0	A	4.7	A	3.7	A
