Temperature,Actual Conductivity,Dissolved Oxygen,Turbidity,Chlorophyll-a
29.55674,92.12651,6.491213,32.86783,3.964875
29.59175,92.22813,6.724226,24.30492,4.057395
29.57693,91.93182,6.677357,47.46174,4.088268
29.63118,92.45161,7.540924,55.041,4.667802
29.64378,92.78736,7.629431,26.5817,4.705108
29.63245,91.78815,7.56651,34.21025,4.52586
29.64501,91.57467,7.912216,52.89904,4.545561
29.67557,91.22897,8.623495,39.166,5.236204
29.65374,90.77015,8.506519,36.52256,5.235229
29.64732,90.89125,8.5311,30.8212,5.228167
29.70231,91.24991,9.192474,77.23246,6.09247
29.64461,91.21239,8.368598,47.14666,5.184284
29.63046,91.47506,8.256821,82.81126,4.984155
29.6673,91.27897,8.805523,52.71703,5.674622
29.75004,91.3004,10.2688,47.35056,6.70516
29.70184,91.93052,9.557779,38.07092,6.426869
29.67038,91.74003,8.935707,40.49232,5.939921
29.7069,92.30174,9.548761,37.23345,6.905346
29.63224,92.19342,8.088799,31.94762,5.574298
29.64098,93.24326,7.999671,37.6953,6.012157
29.65916,93.65958,8.486926,32.78003,5.929182
29.74344,94.92867,9.89364,51.81496,7.53779
29.70351,94.99211,8.971314,59.65267,7.251313
29.76873,94.67919,9.860367,34.80024,7.498108
29.76865,94.49635,10.04306,55.65379,7.986152
29.77673,93.55465,10.54057,38.54684,8.291542
29.7353,95.43964,9.408309,45.52512,6.922716
29.71841,94.80538,8.843196,65.1943,6.755634
29.79548,93.95016,9.578552,68.88601,8.768595
29.69764,95.12363,8.865793,46.37246,6.318886
29.58764,94.2319,6.385609,52.46814,5.294539
29.62958,94.3544,6.59742,31.65506,6.312238
29.8535,93.97364,10.83196,76.96892,8.228623
30.38413,96.64229,15.16316,89.51165,7.644093
29.76735,94.3632,9.718478,62.28009,6.750049
29.67514,93.65443,7.969858,55.38015,5.892855
29.68064,94.91723,7.699747,45.1127,6.411521
30.05668,93.32668,13.36004,54.75638,7.685191
29.84134,93.81694,10.50384,105.1332,7.390073
29.75532,92.54897,9.730732,72.77338,6.636556
29.79824,93.22091,10.0107,90.32613,6.477817
29.67714,92.23919,8.159566,40.00311,6.016902
29.64642,92.0905,7.675818,59.888,5.945415
30.25896,94.01446,13.86909,69.95599,7.251675
29.93661,93.55435,11.49186,71.28068,7.320285
29.87113,93.30629,10.49788,62.36595,7.006643
29.78968,93.29494,9.303434,46.47708,6.423259
29.80825,93.56911,9.01524,58.92992,6.514829
29.7048,92.98676,8.016564,45.35442,5.953662
29.74411,93.23941,8.320436,30.36492,6.012432
29.79511,93.27783,9.840875,42.08685,6.66547
29.87441,93.43941,10.52671,57.34253,6.548985
29.84804,93.46301,10.20255,46.83604,6.296465
29.74689,93.66647,8.233608,49.65734,5.457689
29.73318,93.54656,7.7212,40.4726,6.034699
29.77482,94.2371,8.80795,70.61261,6.587463
29.8033,94.05921,9.299835,65.90894,6.537713
29.75829,93.30726,9.182298,53.19839,5.991174
29.79045,93.70595,9.25981,57.60932,6.51273
29.86606,94.15867,9.977427,83.17635,6.763437
29.8316,93.8968,9.945221,45.61927,6.615607
29.80483,93.43082,9.625872,47.53888,6.296718
29.75159,93.45028,8.460257,72.70693,6.315831
29.83691,93.14071,9.626563,58.48912,6.773949
29.93386,93.35809,10.61285,41.44472,6.787457
29.89066,93.47362,10.38903,57.60139,7.099644
29.77221,93.33939,9.354676,51.59412,6.063143
29.70857,93.64511,6.897032,36.43978,5.580905
29.72315,93.52312,7.245984,63.0359,5.961542
29.7532,93.43369,8.138941,20.71893,6.004441
29.82092,93.33799,8.989306,45.28032,6.10192
29.89477,93.37494,9.823215,46.2504,5.920416
29.80933,93.55393,9.443556,36.56671,6.11974
29.86055,93.13485,9.586599,39.58115,6.216322
29.80767,93.66338,8.292495,46.1479,6.204875
29.76458,93.71053,7.037598,46.76654,6.021659
29.75088,93.58795,7.406879,32.42741,5.783864
29.75934,93.57109,8.017007,51.57797,5.788321
29.87627,93.81498,8.14197,35.28626,6.056911
29.94379,93.91628,9.22659,40.91696,5.856306
29.9957,93.97008,9.684617,31.88279,6.150947
29.91656,93.74124,9.178986,63.60188,6.074004
29.83801,93.56865,8.858311,37.64417,6.129684
29.80294,93.42722,7.816436,50.83567,5.925911
29.77345,93.48179,7.33693,37.58389,5.588881
29.75847,93.56777,7.270483,30.17219,5.513854
29.81385,93.81465,7.232564,40.47446,5.500884
29.84611,93.70865,7.538816,59.42918,5.592913
29.95493,94.12768,8.653885,49.95409,5.606065
30.02653,94.46449,10.08132,27.80063,5.599618
30.02798,94.76012,10.1611,53.01627,5.549551
29.9713,93.93693,9.845509,51.11229,6.113185
29.93087,93.73096,9.363223,53.22055,6.191767
29.86935,93.67172,8.800225,35.8909,6.233797
29.84965,93.69305,8.711274,31.44093,5.451135
29.81323,93.68961,8.129611,51.31936,5.898963
29.78232,93.62666,7.567517,34.80412,5.525878
29.89137,93.85183,8.624371,41.36694,5.538428
29.90789,93.96056,9.627422,43.9228,5.331987
29.9233,93.97045,10.05494,39.39832,5.525594
29.90466,93.9414,9.77739,44.37968,5.106261
29.89594,93.93366,9.844501,32.86415,5.436968
29.88829,93.96769,9.815563,39.66498,5.264087
29.86725,93.91301,10.05392,53.63237,5.202693
29.85779,93.95336,9.74455,60.49069,5.310378
29.83971,93.85812,9.812848,41.77267,5.695456
29.80818,93.67364,8.965011,70.93821,5.496627
29.81204,93.84543,9.201972,46.18003,5.393099
29.7891,93.70559,8.709935,44.91439,5.475961
29.75809,93.71895,8.141937,29.85789,5.063073
29.75914,93.77065,8.586433,29.22794,5.110672
29.74934,93.79502,8.665424,61.96627,5.253449
29.73151,93.83239,8.443451,48.5317,4.955097
29.71628,93.81549,8.636607,35.40646,5.254497
29.70154,93.79346,8.692031,49.58299,5.285129
29.68825,93.72444,8.638016,72.27586,4.951229
29.67664,93.685,8.506596,51.73385,4.951303
29.65871,93.69376,8.560648,77.51801,5.227554
29.64984,93.72788,8.412821,47.71884,5.176698
29.64129,93.51415,8.294706,48.26876,5.281126
29.63774,93.53481,8.431729,41.40613,5.936619
29.62445,93.44699,8.445572,51.4012,5.372869
29.59554,93.42112,8.147236,57.70045,5.38359
29.58357,93.48382,7.963221,76.09952,5.317527
29.58934,93.59489,7.376223,61.03663,5.676001
29.57245,93.57909,7.053531,45.31554,5.543777
29.58763,93.63103,7.11095,54.59473,5.635986
29.58729,93.58801,7.031235,52.89424,5.386625
29.5985,93.46868,7.710369,69.15472,5.336982
29.5966,93.40536,8.279764,49.39759,5.35841
29.5925,93.39855,8.144305,47.61539,5.497638
29.59887,93.44725,7.937835,95.39262,5.523963
29.59888,93.43927,8.091581,62.0218,5.264324
29.59705,93.43384,7.836899,76.09135,5.377151
29.58981,94.46127,5.582811,31.14998,4.784671
29.59631,95.35612,6.479455,47.29639,4.750528
29.61534,95.53465,6.330062,57.38725,4.78407
29.59302,95.81931,5.335831,24.29653,4.860841
29.59216,96.15148,6.308964,38.84977,4.466728
29.62504,94.21704,7.471964,37.27486,5.09612
29.67432,94.26719,7.608681,46.51486,5.17184
29.62624,93.88388,7.809839,32.31498,5.298471
29.6351,93.54911,7.093028,41.00026,5.387601
29.69855,93.64951,8.450316,59.8672,5.486484
29.6263,93.83696,8.200918,54.66552,5.10669
29.61961,94.52847,7.764448,42.828,4.853752
29.63971,93.61292,7.641293,48.29507,5.262495
29.66642,93.57664,7.977396,63.33678,5.510263
29.66593,93.82803,7.639637,36.47139,5.341089
29.6602,93.65257,7.322554,48.83949,4.813016
29.6679,93.67638,7.399931,32.58786,5.234857
29.67707,93.75383,7.53862,47.02279,5.198804
29.6691,93.62108,7.5809,44.22504,4.769949
29.64429,93.97694,8.008376,30.97926,4.754026
29.64981,93.93907,8.006062,34.69176,4.95144
29.67861,93.78756,8.189717,41.92007,5.334892
29.67567,93.85181,8.283468,29.17829,5.187417
29.67286,93.84442,8.174033,35.05279,5.220948
29.67155,93.92114,8.188995,41.27107,4.854902
29.71499,93.80315,9.090021,32.03764,6.530386
29.72204,93.80534,9.250629,48.24871,6.107241
29.73138,93.85114,9.40713,52.76143,5.618971
29.69668,93.91565,8.655152,46.29515,5.55497
29.75491,93.85715,9.52457,47.17135,7.200013
29.71929,93.88554,8.862204,24.87815,5.965919
29.75354,93.8189,9.657035,53.4452,6.718973
29.74009,93.90307,9.335414,44.89235,6.900324
29.70891,94.05031,8.605341,30.35464,6.499372
29.73709,94.06852,9.364145,34.59891,6.685705
29.72845,93.92555,9.192806,80.63578,6.893458
29.77674,93.99826,9.692822,62.72697,6.502112
29.78035,93.95651,9.808157,49.18122,7.510574
29.76502,94.09518,9.540098,29.9845,6.809555
29.74833,94.03112,9.36531,44.14618,6.377793
29.76987,94.08102,10.12801,43.62281,6.632105
29.71328,94.13108,8.594918,52.73779,6.400687
29.71041,94.12125,8.645844,49.2408,5.824524
29.7095,94.18453,8.535245,46.23414,5.933634
29.71079,94.16278,8.264825,42.8604,6.388721
29.7386,94.02636,8.763156,41.99458,6.609452
29.76503,94.09216,8.941806,56.03251,7.547515
29.77866,94.0612,9.270299,50.94424,7.210756
29.82155,94.00668,10.22675,64.95162,7.587458
29.83961,94.05293,9.470364,87.24723,8.353857
29.9102,94.07328,12.23745,70.02186,8.022318
29.84754,94.05409,10.34238,45.601,7.647949
29.92059,94.10535,11.53989,87.37005,7.468663
29.76796,93.93165,9.485311,72.08077,7.172532
29.80175,93.94695,9.13237,57.86889,7.412338
29.76423,93.98045,8.937991,57.40579,7.036685
29.79639,94.02937,8.799961,48.83684,7.236881
29.87133,94.04123,9.673799,99.87273,7.892505
29.84119,94.01678,9.892303,54.39088,7.394316
