# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2020-04-26 13:37:18 EDT       (nadww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 01108000 TAUNTON RIVER NEAR BRIDGEWATER, MA
# -----------------------------------------------------------------------------------
#
# Data provided for site 01108000
#            TS   parameter     Description
#        251266       00010     Temperature, water, degrees Celsius
#        251273       00400     pH, water, unfiltered, field, standard units
#        251274       00095     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius
#        251275       00300     Dissolved oxygen, water, unfiltered, milligrams per liter
#         66276       00060     Discharge, cubic feet per second
#         66277       00065     Gage height, feet
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	tz_cd	251266_00010	251266_00010_cd	251273_00400	251273_00400_cd	251274_00095	251274_00095_cd	251275_00300	251275_00300_cd	66276_00060	66276_00060_cd	66277_00065	66277_00065_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	01108000	2019-01-01 00:00	EST									932	A	5.25	A
USGS	01108000	2019-01-01 00:30	EST									936	A	5.26	A
USGS	01108000	2019-01-01 00:45	EST									932	A	5.25	A
USGS	01108000	2019-01-01 01:00	EST									941	A	5.27	A
USGS	01108000	2019-01-01 01:15	EST									941	A	5.27	A
USGS	01108000	2019-01-01 01:30	EST									941	A	5.27	A
USGS	01108000	2019-01-01 01:45	EST									946	A	5.28	A
USGS	01108000	2019-01-01 02:00	EST									951	A	5.29	A
USGS	01108000	2019-01-01 02:15	EST									960	A	5.31	A
USGS	01108000	2019-01-01 02:30	EST									960	A	5.31	A
USGS	01108000	2019-01-01 02:45	EST									965	A	5.32	A
USGS	01108000	2019-01-01 03:00	EST									970	A	5.33	A
USGS	01108000	2019-01-01 03:15	EST									974	A	5.34	A
USGS	01108000	2019-01-01 03:30	EST									984	A	5.36	A
USGS	01108000	2019-01-01 03:45	EST									989	A	5.37	A
USGS	01108000	2019-01-01 04:00	EST									989	A	5.37	A
USGS	01108000	2019-01-01 04:15	EST									999	A	5.39	A
USGS	01108000	2019-01-01 04:30	EST									999	A	5.39	A
USGS	01108000	2019-01-01 04:45	EST									1000	A	5.40	A
USGS	01108000	2019-01-01 05:00	EST									1010	A	5.42	A
USGS	01108000	2019-01-01 05:15	EST									1020	A	5.44	A
USGS	01108000	2019-01-01 05:30	EST									1020	A	5.44	A
USGS	01108000	2019-01-01 05:45	EST									1030	A	5.45	A
USGS	01108000	2019-01-01 06:00	EST									1030	A	5.45	A
USGS	01108000	2019-01-01 06:15	EST									1040	A	5.48	A
USGS	01108000	2019-01-01 06:30	EST									1030	A	5.46	A
USGS	01108000	2019-01-01 06:45	EST									1050	A	5.49	A
USGS	01108000	2019-01-01 07:00	EST									1050	A	5.50	A
USGS	01108000	2019-01-01 07:15	EST									1060	A	5.51	A
USGS	01108000	2019-01-01 07:30	EST									1060	A	5.52	A
USGS	01108000	2019-01-01 07:45	EST									1070	A	5.53	A
USGS	01108000	2019-01-01 08:00	EST									1070	A	5.53	A
USGS	01108000	2019-01-01 08:15	EST									1070	A	5.53	A
USGS	01108000	2019-01-01 08:30	EST									1080	A	5.56	A
USGS	01108000	2019-01-01 08:45	EST									1080	A	5.56	A
USGS	01108000	2019-01-01 09:00	EST									1090	A	5.58	A
USGS	01108000	2019-01-01 09:15	EST									1100	A	5.60	A
USGS	01108000	2019-01-01 09:30	EST									1090	A	5.58	A
USGS	01108000	2019-01-01 10:00	EST									1110	A	5.62	A
USGS	01108000	2019-01-01 10:15	EST									1110	A	5.62	A
USGS	01108000	2019-01-01 10:30	EST									1110	A	5.62	A
USGS	01108000	2019-01-01 10:45	EST									1120	A	5.64	A
USGS	01108000	2019-01-01 11:00	EST									1130	A	5.66	A
USGS	01108000	2019-01-01 11:15	EST									1130	A	5.67	A
USGS	01108000	2019-01-01 11:30	EST									1140	A	5.68	A
USGS	01108000	2019-01-01 11:45	EST									1140	A	5.69	A
USGS	01108000	2019-01-01 12:00	EST									1140	A	5.69	A
USGS	01108000	2019-01-01 12:15	EST									1140	A	5.70	A
USGS	01108000	2019-01-01 12:30	EST									1150	A	5.72	A
USGS	01108000	2019-01-01 12:45	EST									1150	A	5.71	A
USGS	01108000	2019-01-01 13:00	EST									1160	A	5.73	A
USGS	01108000	2019-01-01 13:15	EST									1160	A	5.73	A
USGS	01108000	2019-01-01 13:30	EST									1170	A	5.77	A
USGS	01108000	2019-01-01 13:45	EST									1170	A	5.76	A
USGS	01108000	2019-01-01 14:00	EST									1170	A	5.76	A
USGS	01108000	2019-01-01 14:15	EST									1170	A	5.77	A
USGS	01108000	2019-01-01 14:30	EST									1190	A	5.80	A
USGS	01108000	2019-01-01 14:45	EST									1180	A	5.78	A
USGS	01108000	2019-01-01 15:15	EST									1190	A	5.81	A
USGS	01108000	2019-01-01 15:30	EST									1190	A	5.80	A
USGS	01108000	2019-01-01 15:45	EST									1190	A	5.82	A
USGS	01108000	2019-01-01 16:00	EST									1190	A	5.81	A
USGS	01108000	2019-01-01 16:15	EST									1200	A	5.83	A
USGS	01108000	2019-01-01 16:30	EST									1190	A	5.81	A
USGS	01108000	2019-01-01 16:45	EST									1200	A	5.84	A
USGS	01108000	2019-01-01 17:00	EST									1210	A	5.85	A
USGS	01108000	2019-01-01 17:15	EST									1210	A	5.85	A
USGS	01108000	2019-01-01 17:30	EST									1210	A	5.86	A
USGS	01108000	2019-01-01 17:45	EST									1210	A	5.86	A
USGS	01108000	2019-01-01 18:00	EST									1220	A	5.88	A
USGS	01108000	2019-01-01 18:15	EST									1220	A	5.88	A
USGS	01108000	2019-01-01 18:30	EST									1220	A	5.88	A
USGS	01108000	2019-01-01 18:45	EST									1220	A	5.89	A
USGS	01108000	2019-01-01 19:00	EST									1230	A	5.90	A
USGS	01108000	2019-01-01 19:15	EST									1230	A	5.90	A
USGS	01108000	2019-01-01 19:30	EST									1230	A	5.90	A
USGS	01108000	2019-01-01 19:45	EST									1230	A	5.90	A
USGS	01108000	2019-01-01 20:00	EST									1230	A	5.91	A
USGS	01108000	2019-01-01 20:15	EST									1230	A	5.91	A
USGS	01108000	2019-01-01 20:30	EST									1240	A	5.93	A
USGS	01108000	2019-01-01 20:45	EST									1250	A	5.94	A
USGS	01108000	2019-01-01 21:00	EST									1240	A	5.92	A
USGS	01108000	2019-01-01 21:15	EST									1250	A	5.95	A
USGS	01108000	2019-01-01 21:30	EST									1240	A	5.93	A
USGS	01108000	2019-01-01 21:45	EST									1250	A	5.94	A
USGS	01108000	2019-01-01 22:00	EST									1250	A	5.96	A
USGS	01108000	2019-01-01 22:15	EST									1250	A	5.95	A
USGS	01108000	2019-01-01 22:30	EST									1250	A	5.95	A
USGS	01108000	2019-01-01 22:45	EST									1250	A	5.95	A
USGS	01108000	2019-01-01 23:00	EST									1260	A	5.97	A
USGS	01108000	2019-01-01 23:30	EST									1250	A	5.96	A
USGS	01108000	2019-01-01 23:45	EST									1250	A	5.96	A
USGS	01108000	2019-01-02 00:00	EST									1250	A	5.96	A
USGS	01108000	2019-01-02 00:15	EST									1260	A	5.97	A
USGS	01108000	2019-01-02 00:30	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 00:45	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 01:00	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 01:15	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 01:30	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 01:45	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 02:00	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 02:15	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 02:30	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 02:45	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 03:00	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 03:15	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 03:30	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 03:45	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 04:00	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 04:15	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 04:30	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 04:45	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 05:00	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 05:15	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 05:30	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 05:45	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 06:00	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 06:15	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 06:45	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 07:00	EST									1280	A	6.03	A
USGS	01108000	2019-01-02 07:15	EST									1280	A	6.03	A
USGS	01108000	2019-01-02 07:30	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 07:45	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 08:00	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 08:15	EST									1280	A	6.02	A
USGS	01108000	2019-01-02 08:30	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 08:45	EST									1280	A	6.02	A
USGS	01108000	2019-01-02 09:00	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 09:15	EST									1280	A	6.02	A
USGS	01108000	2019-01-02 09:30	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 09:45	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 10:00	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 10:15	EST									1280	A	6.02	A
USGS	01108000	2019-01-02 10:30	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 10:45	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 11:00	EST									1280	A	6.02	A
USGS	01108000	2019-01-02 11:15	EST									1280	A	6.02	A
USGS	01108000	2019-01-02 11:30	EST									1280	A	6.02	A
USGS	01108000	2019-01-02 11:45	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 12:00	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 12:15	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 12:30	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 12:45	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 13:00	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 13:15	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 13:30	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 13:45	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 14:15	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 14:30	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 14:45	EST									1280	A	6.01	A
USGS	01108000	2019-01-02 15:00	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 15:15	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 15:30	EST									1260	A	5.97	A
USGS	01108000	2019-01-02 15:45	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 16:00	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 16:15	EST									1270	A	6.00	A
USGS	01108000	2019-01-02 16:30	EST									1270	A	5.99	A
USGS	01108000	2019-01-02 16:45	EST									1260	A	5.97	A
USGS	01108000	2019-01-02 17:00	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 17:15	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 17:30	EST									1260	A	5.97	A
USGS	01108000	2019-01-02 17:45	EST									1250	A	5.96	A
USGS	01108000	2019-01-02 18:00	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 18:15	EST									1260	A	5.98	A
USGS	01108000	2019-01-02 18:30	EST									1250	A	5.96	A
USGS	01108000	2019-01-02 18:45	EST									1260	A	5.97	A
USGS	01108000	2019-01-02 19:00	EST									1250	A	5.96	A
USGS	01108000	2019-01-02 19:15	EST									1250	A	5.96	A
USGS	01108000	2019-01-02 19:30	EST									1250	A	5.95	A
USGS	01108000	2019-01-02 19:45	EST									1250	A	5.95	A
USGS	01108000	2019-01-02 20:00	EST									1250	A	5.95	A
USGS	01108000	2019-01-02 20:15	EST									1250	A	5.94	A
USGS	01108000	2019-01-02 20:30	EST									1260	A	5.97	A
USGS	01108000	2019-01-02 20:45	EST									1250	A	5.96	A
USGS	01108000	2019-01-02 21:00	EST									1260	A	5.97	A
USGS	01108000	2019-01-02 21:15	EST									1250	A	5.95	A
USGS	01108000	2019-01-02 21:30	EST									1250	A	5.95	A
USGS	01108000	2019-01-02 21:45	EST									1240	A	5.93	A
USGS	01108000	2019-01-02 22:00	EST									1250	A	5.94	A
USGS	01108000	2019-01-02 22:15	EST									1250	A	5.94	A
USGS	01108000	2019-01-02 22:30	EST									1240	A	5.93	A
USGS	01108000	2019-01-02 22:45	EST									1240	A	5.93	A
USGS	01108000	2019-01-02 23:00	EST									1250	A	5.95	A
USGS	01108000	2019-01-02 23:15	EST									1250	A	5.95	A
USGS	01108000	2019-01-02 23:30	EST									1230	A	5.91	A
USGS	01108000	2019-01-02 23:45	EST									1240	A	5.93	A
USGS	01108000	2019-01-03 00:00	EST									1230	A	5.91	A
USGS	01108000	2019-01-03 00:15	EST									1240	A	5.93	A
USGS	01108000	2019-01-03 00:30	EST									1230	A	5.91	A
USGS	01108000	2019-01-03 00:45	EST									1240	A	5.92	A
USGS	01108000	2019-01-03 01:00	EST									1230	A	5.91	A
USGS	01108000	2019-01-03 01:15	EST									1230	A	5.91	A
USGS	01108000	2019-01-03 01:30	EST									1220	A	5.89	A
USGS	01108000	2019-01-03 01:45	EST									1230	A	5.90	A
USGS	01108000	2019-01-03 02:00	EST									1230	A	5.90	A
USGS	01108000	2019-01-03 02:15	EST									1220	A	5.89	A
USGS	01108000	2019-01-03 02:30	EST									1220	A	5.89	A
USGS	01108000	2019-01-03 02:45	EST									1230	A	5.91	A
USGS	01108000	2019-01-03 03:00	EST									1220	A	5.88	A
USGS	01108000	2019-01-03 03:15	EST									1230	A	5.90	A
USGS	01108000	2019-01-03 03:45	EST									1220	A	5.87	A
USGS	01108000	2019-01-03 04:00	EST									1220	A	5.87	A
USGS	01108000	2019-01-03 04:15	EST									1210	A	5.86	A
USGS	01108000	2019-01-03 04:30	EST									1220	A	5.88	A
USGS	01108000	2019-01-03 04:45	EST									1220	A	5.87	A
USGS	01108000	2019-01-03 05:00	EST									1210	A	5.85	A
USGS	01108000	2019-01-03 05:15	EST									1210	A	5.86	A
USGS	01108000	2019-01-03 05:30	EST									1210	A	5.86	A
USGS	01108000	2019-01-03 05:45	EST									1210	A	5.86	A
USGS	01108000	2019-01-03 06:00	EST									1210	A	5.85	A
USGS	01108000	2019-01-03 06:15	EST									1220	A	5.87	A
USGS	01108000	2019-01-03 06:30	EST									1210	A	5.85	A
USGS	01108000	2019-01-03 06:45	EST									1210	A	5.85	A
USGS	01108000	2019-01-03 07:00	EST									1210	A	5.86	A
USGS	01108000	2019-01-03 07:15	EST									1210	A	5.85	A
USGS	01108000	2019-01-03 07:30	EST									1200	A	5.84	A
USGS	01108000	2019-01-03 07:45	EST									1190	A	5.82	A
USGS	01108000	2019-01-03 08:00	EST									1190	A	5.82	A
USGS	01108000	2019-01-03 08:15	EST									1200	A	5.83	A
USGS	01108000	2019-01-03 08:30	EST									1190	A	5.82	A
USGS	01108000	2019-01-03 08:45	EST									1200	A	5.83	A
USGS	01108000	2019-01-03 09:00	EST									1190	A	5.81	A
USGS	01108000	2019-01-03 09:15	EST									1190	A	5.82	A
USGS	01108000	2019-01-03 09:30	EST									1190	A	5.81	A
USGS	01108000	2019-01-03 09:45	EST									1200	A	5.84	A
USGS	01108000	2019-01-03 10:00	EST									1190	A	5.81	A
USGS	01108000	2019-01-03 10:15	EST									1190	A	5.80	A
USGS	01108000	2019-01-03 10:30	EST									1190	A	5.81	A
USGS	01108000	2019-01-03 10:45	EST									1190	A	5.82	A
USGS	01108000	2019-01-03 11:00	EST									1190	A	5.81	A
USGS	01108000	2019-01-03 11:15	EST									1190	A	5.80	A
USGS	01108000	2019-01-03 11:30	EST									1190	A	5.80	A
USGS	01108000	2019-01-03 11:45	EST									1190	A	5.81	A
USGS	01108000	2019-01-03 12:00	EST									1180	A	5.79	A
USGS	01108000	2019-01-03 12:15	EST									1190	A	5.80	A
USGS	01108000	2019-01-03 12:30	EST									1190	A	5.80	A
USGS	01108000	2019-01-03 12:45	EST									1190	A	5.80	A
USGS	01108000	2019-01-03 13:00	EST									1180	A	5.78	A
USGS	01108000	2019-01-03 13:15	EST									1180	A	5.79	A
USGS	01108000	2019-01-03 13:30	EST									1180	A	5.78	A
USGS	01108000	2019-01-03 13:45	EST									1170	A	5.77	A
USGS	01108000	2019-01-03 14:15	EST									1180	A	5.78	A
USGS	01108000	2019-01-03 14:30	EST									1170	A	5.76	A
USGS	01108000	2019-01-03 14:45	EST									1170	A	5.77	A
USGS	01108000	2019-01-03 15:00	EST									1170	A	5.76	A
USGS	01108000	2019-01-03 15:15	EST									1170	A	5.77	A
USGS	01108000	2019-01-03 15:30	EST									1170	A	5.76	A
USGS	01108000	2019-01-03 15:45	EST									1160	A	5.75	A
USGS	01108000	2019-01-03 16:00	EST									1160	A	5.75	A
